grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.167,39.766,389,1100,311,176930,389,66586,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,77,0.012233874,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,389,66586,311,176930,389,1100,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,105,0.016682555,1147,15,0.013077594,66.08650667,21.18166743,16.88032,34.763648,62.5352,70.3136,80.50176,87.40192,97.30048
-86.167,39.766,389,66586,96,176930,389,1100,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,2,0.000317763,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,389,66836,311,176930,389,1100,389,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,882,0.14013346,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,389,66836,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,1,0.000158881,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,4,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,3,0.000476644,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,4,66586,96,176930,96,1100,4,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,48,0.007626311,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,4,66836,96,176930,96,1100,4,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,34,0.00540197,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,432,66586,311,176930,61,1100,432,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,48,0.007626311,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,432,66586,96,176930,61,1100,432,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,159,0.025262154,1147,21,0.018308631,29.10285714,9.889212816,8.87488,12.51904,25.55808,31.4576,35.8896,39.52288,42.93728
-86.167,39.766,432,66586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,4,0.000635526,1147,4,0.003487358,76.85656,3.134377077,73.3888,73.823776,74.47624,76.20944,78.58976,80.40704,81.61856
-86.167,39.766,432,66836,311,176930,61,1100,432,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,158,0.025103273,1147,42,0.036617262,42.72280952,23.79976339,0.19952,20.15332,25.26576,31.18688,66.34406,70.768776,93.39152
-86.167,39.766,432,66836,96,176930,61,1100,432,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,180,0.028598665,1147,111,0.096774194,54.46517694,21.16879685,0.17704,23.03576,39.46516,62.81936,69.28152,72.54976,102.25216
-86.167,39.766,432,66836,None,None,432,66586,61,1100,432,5230,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,38,0.006037496,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,5,66586,96,176930,96,1100,5,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,425,0.067524627,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,1100,311,176930,96,66586,96,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,27,0.0042898,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,1100,96,176930,96,66586,96,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,208,0.033047347,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,1100,96,176930,96,66586,96,67086,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,92,0.014617096,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,5230,None,None,96,66586,96,66836,96,1100,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,20,0.003177629,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,66586,311,176930,96,66836,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,43,0.006831903,1147,4,0.003487358,68.24784,12.20658678,47.50656,54.650688,65.36688,74.01792,76.89888,77.228928,77.44896
-86.167,39.766,96,66586,311,176930,96,67086,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,19,0.003018748,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,66586,96,176930,96,66836,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,672,0.106768351,1147,224,0.195292066,42.89784571,22.34168191,1.13792,19.140224,30.8584,38.90736,49.0688,73.98576,120.02048
-86.167,39.766,96,66586,96,176930,96,67086,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,254,0.040355895,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,66586,None,None,324,55744,325,55942,326,56140,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,12,0.001906578,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,66586,None,None,324,55744,325,55942,96,1100,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,3,0.000476644,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,66586,None,None,326,56140,325,55942,324,55744,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,8,0.001271052,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.766,96,66586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,16,0.002542104,1147,16,0.013949433,65.11346,18.05433326,12.69984,49.27088,63.51896,67.41072,72.2584,77.77184,103.14496
-86.167,39.766,96,66836,96,176930,96,66586,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,6294,45,0.007149666,1147,0,0,0,0,0,0,0,0,0,0,0
