grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.1665,39.773,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,134,0.07507002801120448,741,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.773,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,3,1785,8,0.004481792717086834,741,5,0.006747638326585695,118.623232,28.275202707179595,86.31168,89.666304,94.69823999999998,107.62752,152.23936,152.23936,152.23936,
-86.1665,39.773,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,1,0.0005602240896358543,741,1,0.001349527665317139,107.62752,0.0,107.62752,107.62752,107.62752,107.62752,107.62752,107.62752,107.62752,
-86.1665,39.773,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1785,237,0.13277310924369748,741,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.773,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,3,1785,4,0.002240896358543417,741,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7735,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,69,0.18699186991869918,153,57,0.37254901960784315,234.04405894736843,66.95281528909665,16.610879999999998,154.214016,196.77504,231.85536,286.91519999999997,312.261312,338.25791999999996,
-86.1665,39.7735,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,369,7,0.018970189701897018,153,3,0.0196078431372549,87.67381333333333,102.63373971828346,15.1008,15.100800000000001,15.1008,15.1008,123.96032,189.27603200000001,232.81984,
-86.1665,39.7735,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,52,0.14092140921409213,153,52,0.33986928104575165,83.88132923076923,58.57965960999753,0.34847999999999996,17.807328000000002,45.82512,68.244,110.04972,156.45590399999998,254.04191999999998,
-86.1665,39.7735,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,28,0.07588075880758807,153,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7735,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,83,0.22493224932249323,153,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7735,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,41,0.1111111111111111,153,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7735,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,41,0.1111111111111111,153,41,0.2679738562091503,92.06181463414634,28.987819144312937,1.7471999999999999,45.54368,85.96224,99.24096,111.12192,116.24703999999998,139.54304,
-86.1665,39.7735,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,369,48,0.13008130081300814,153,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.774,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,57,0.03639846743295019,219,57,0.2602739726027397,66.96929684210527,23.465410604094444,4.0656,33.57024,53.66591999999999,65.97888,85.3776,95.34412799999998,115.46303999999999,
-86.1665,39.774,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,186,0.11877394636015326,219,105,0.4794520547945205,159.3537881904762,66.7783415676697,38.995839999999994,89.520384,106.87072,129.45087999999998,214.12864,247.826944,346.03904,
-86.1665,39.774,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,127,0.08109833971902937,219,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.774,12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,56,0.035759897828863345,219,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.774,152,66736,144,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,57,0.03639846743295019,219,57,0.2602739726027397,75.45451789473685,29.693673631601015,0.81536,25.346048000000003,72.33408,84.44800000000001,91.55328,103.20127999999998,131.04,
-86.1665,39.774,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,53,0.03384418901660281,219,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.774,152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,56,0.035759897828863345,219,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.774,379,66736,194,125330,187,67011,10,677,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,1566,927,0.5919540229885057,219,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.774,81,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,1566,47,0.030012771392081736,219,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7745,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,216,146,0.6759259259259259,146,146,1.0,177.12854246575338,82.81209391465912,0.7199999999999999,79.29408,108.94303999999998,177.84616,247.85888,284.76448,393.88447999999994,
-86.1665,39.7745,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,216,43,0.19907407407407407,146,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7745,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,6,216,4,0.018518518518518517,146,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7745,355,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,6,216,1,0.004629629629629629,146,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7745,379,66736,194,125330,187,67011,10,677,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,6,216,22,0.10185185185185185,146,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.775,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1335,752,0.5632958801498127,1120,751,0.6705357142857142,162.63191893475363,79.32696935974307,0.11648,69.42528,96.66944,149.25696,236.65888,268.84864,327.45536,
-86.1665,39.775,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,3,1335,309,0.23146067415730337,1120,309,0.27589285714285716,266.7845589644013,81.81306691608009,0.11648,127.231744,252.90496,294.62976,316.48192,337.100288,392.03583999999995,
-86.1665,39.775,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1335,60,0.0449438202247191,1120,60,0.05357142857142857,165.64329199999995,110.20585129276316,0.8435199999999999,4.57792,116.70911999999998,145.04464,243.002,323.87395200000003,384.94784,
-86.1665,39.775,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,1335,214,0.16029962546816479,1120,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7755,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,209,100,0.4784688995215311,149,100,0.6711409395973155,122.1030304,73.73522617615806,0.11648,31.822464000000014,85.26839999999999,119.27839999999999,154.60431999999997,200.79366400000004,314.20543999999995,
-86.1665,39.7755,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,3,209,49,0.23444976076555024,149,49,0.3288590604026846,285.5898824489796,70.29430320102645,11.139199999999999,206.66336,270.21567999999996,298.0816,329.90144,350.43980799999997,368.20192,
-86.1665,39.7755,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,209,60,0.28708133971291866,149,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.776,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,162,76,0.4691358024691358,117,76,0.6495726495726496,125.53087684210526,49.054416658494354,0.83648,65.472,91.17663999999999,123.85824,159.95119999999997,192.1328,224.77855999999997,
-86.1665,39.776,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,162,41,0.25308641975308643,117,41,0.3504273504273504,246.66027121951217,55.445591204550496,116.67711999999999,182.41216,218.26783999999998,247.93535999999997,278.47904,315.41247999999996,348.65152,
-86.1665,39.776,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,162,45,0.2777777777777778,117,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7765,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,142,68,0.4788732394366197,104,68,0.6538461538461539,121.90043411764704,26.35745216976719,40.29823999999999,92.96,106.20096,122.71296,136.99648,153.34336,202.14144,
-86.1665,39.7765,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,4,142,36,0.2535211267605634,104,36,0.34615384615384615,234.77405333333334,84.87858849314172,0.11648,101.97199999999998,186.40351999999996,253.4328,300.63888,325.77248000000003,351.52096,
-86.1665,39.7765,152,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,4,142,38,0.2676056338028169,104,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.777,12,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,61,44,0.7213114754098361,61,44,0.7213114754098361,124.93984545454542,43.7256707001489,2.87296,88.66412799999999,107.17423999999998,136.51936,149.66096,181.90656,191.31199999999998,
-86.1665,39.777,12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,61,17,0.2786885245901639,61,17,0.2786885245901639,249.32711529411765,73.46845017056971,133.51615999999999,165.635392,188.39839999999998,256.73248,321.05983999999995,342.85887999999994,358.17632000000003,
